Complexity metrics,ÖÜ¶þ, 18 3ÔÂ 2025 00:15:57 CST
Method,CogC,ev(G),iv(G),v(G)
"procstring.PreProcess.process(Integer, String)",53,1,22,26
procstring.ToString.allZero(Poly),4,4,2,4
"procstring.ToString.appendCoeWithX(StringBuilder, Mono)",3,1,3,3
procstring.ToString.coeCnt(Mono),1,1,1,2
"procstring.ToString.monoToString(Mono, boolean)",9,2,7,8
procstring.ToString.needsExtraParentheses(Poly),3,3,2,3
procstring.ToString.onlyTrigWithCoeOneOrMinusOne(Mono),3,1,5,5
procstring.ToString.polyToString(Poly),8,2,4,5
"procstring.ToString.trigToString(StringBuilder, Mono)",16,1,9,9
procstring.ToString.varCnt(Mono),1,1,1,2

Class,OCavg,OCmax,WMC
Main,1.00,1,1
expr.Constant,1.00,1,3
expr.Expression,1.33,4,12
expr.RecursiveFunc,2.00,3,6
expr.SelfFunc,1.67,2,5
expr.Term,1.38,4,11
expr.TrigonometricFunction,2.83,12,17
expr.Variable,1.00,1,4
parse.Lexer,2.60,8,13
parse.Parser,2.60,7,26
poly.Add,1.50,2,3
poly.Derivate,5.00,9,20
poly.Math,4.00,4,4
poly.Mono,1.26,4,24
poly.Multiply,2.25,3,9
poly.Poly,3.00,8,33
poly.Power,2.00,2,2
poly.TrigSimpify,5.20,13,26
procstring.FunctionDefinitionParser,3.00,3,6
procstring.FunctionDefinitionParser.ParseRecursiveFunc,1.00,1,5
procstring.FunctionDefinitionParser.ParseSelfFunc,1.00,1,4
procstring.PreProcess,9.50,16,19
procstring.ToString,4.00,9,36

Package,v(G)avg,v(G)tot
,1.00,1
expr,1.75,63
parse,3.20,48
poly,2.94,138
procstring,3.91,86

Module,v(G)avg,v(G)tot
hw1,2.78,336

Project,v(G)avg,v(G)tot
project,2.78,336

